,tag,type,author,doi,journal,pages,title,volume,year,publisher,url,institution,number,mendeley-tags,booktitle,edition,month,address,editor,arc-citations,arc-source
904,Proschan1965,article,"Proschan, F.",,The Annals of Mathematical Statistics,1703--1706,{Peakedness of Distributions of Convex Combinations},36,1965,,,,6,Tails,,,,,,0,mendeley
905,Sommeiller2016,article,"Sommeiller, Estelle and Price, Mark and June, Ellis Wazeter",,Economic Policy Institute,,"{Income inequality in the U.S. by state, metropolitan area, and county}",,2016,,,,,,,,,,,0,mendeley
906,Saez2013,article,"Saez, Emmanuel",,,,{Striking it Richer: The Evolution of Top Incomes in the United States (updated with 2012 preliminary estimates)},,2013,,http://128.32.105.3/$\sim$saez/saez-UStopincomes-2012.pdf,,,,,,,,,0,mendeley
907,Bellini2018,article,"Bellini, Fabio and Koch-Medina, Pablo and Munari, Cosimo and Svindland, Gregor",,,1--21,{Law-invariant functionals on general spaces of random variables [duplicate]},,2018,,http://arxiv.org/abs/1808.00821,,,Svindland,,,,,,0,mendeley
908,Nicholls2015,techreport,"Nicholls, Robert J.",,,,"{Rising Sea Levels, sinking cities, and their implications}",,2015,,,,,,,,,,,0,mendeley
909,Union2014,article,"Union, National",,,,"{ANNUAL STATEMENT FOR THE YEAR 2014 OF THE National Union Fire Insurance Company of Pittsburgh, Pa.}",,2014,,,,,,,,,,,0,mendeley
910,Mckay1995,article,"Mckay, Brendan D.",,Journal of Graph Theory,309--322,"{R(4,5) = 25}",19,1995,,,,3,,,,,,,0,mendeley
911,Landsman1998,article,"Landsman, Zinoviy M. and Makov, Udi E.",10.1080/03461238.1998.10413995,Scandinavian Actuarial Journal,89--96,{Exponential dispersion models and credibility},1998,1998,,,,1,,,,,,,0,mendeley
912,Becker1993,article,"Becker, Gary S.",,,,{The Economic Way of Looking at Life},,1993,,https://chicagounbound.uchicago.edu/law_and_economics,,12,,,,,,,0,mendeley
913,Wirch2001,article,"Wirch, Julia Lynn and Hardy, Mary R.",,… Working Paper (available at http://www. …,13,{Distortion Risk Measures: Coherence and Stochastic Dominance},,2001,,http://pascal.iseg.utl.pt/$\sim$cemapre/ime2002/main_page/papers/JuliaWirch.pdf,,,,,,,,,0,mendeley
914,Mimra2011,article,"Mimra, Wanda",,,,markets with adverse selection ∗,,2011,,,,,,,,,,,0,mendeley
915,Ruhm2007,article,"Ruhm, D. L. L. and Brehm, P. J.",,Variance,,{Risk Transfer Testing of Reinsurance Contracts. A Summary of the Report by the CAS Research Working Party on Risk Transfer Testing},,2007,,http://scholar.google.com/scholar?hl=en&btnG=Search&q=intitle:Risk+Transfer+Testing+of+Reinsurance+Contracts+A+Summary+of+the+Report+by+the+CAS+Research+Working+Party+on+Risk+Transfer+Testing#3,,,,,,,,,0,mendeley
916,Shi2015,article,"Shi, Peng",10.1111/jori.12102,Journal of Risk and Insurance,1--21,{A Multivariate Analysis of Intercompany Loss Triangles},,2015,,,,,,,,,,,0,mendeley
917,Duffie2012,article,"Duffie, Darrell and Strulovici, Bruno",10.3982/ECTA8822,Econometrica,2469--2509,"{Capital Mobility and Asset Pricing, Supplement}",80,2012,,http://doi.wiley.com/10.3982/ECTA8822,,6,,,,,,,0,mendeley
918,Quiggin1982,misc,"Quiggin, John",10.1016/0167-2681(82)90008-7,,323--343,{A theory of anticipated utility},3,1982,,,,4,,Journal of Economic Behavior and Organization,,,,,0,mendeley
919,Caramello2014,article,"Caramello, Olivia",,,1--64,{Topos-theoretic background},,2014,,,,,,,,,,,0,mendeley
920,Asimit2016,article,"Asimit, Alexandru V. and Li, Jinzhu",10.1016/j.insmatheco.2016.10.003,Insurance: Mathematics and Economics,,{Extremes for coherent risk measures},,2016,,,,,,,,,,,0,mendeley
921,Pfeifer2016,article,"Pfeifer, Dietmar and Tsatedem, Hervé Awoumlac and Mändle, Andreas and Girschig, Côme",10.1515/demo-2016-0006,Dependence Modeling,123--140,{New copulas based on general partitions-of-unity and their applications to risk management},4,2016,,,,1,,,,,,,0,mendeley
922,Meyers2009,article,"Meyers, Glenn G.",,History,,{Predictive Modeling with the Tweedie Distribution Background – The Collective Risk Model Describe as a simulation algorithm},,2009,,,,,Meyers,,,,,,0,mendeley
923,Danielsson2013,article,"Daníelsson, Jón and Jorgensen, Bjorn N. Bjørn N. and Samorodnitsky, Gennady and Sarma, Mandira and {De Vries}, Casper G. and Daníelsson, Jón and Jorgensen, Bjorn N. Bjørn N. and Samorodnitsky, Gennady and Sarma, Mandira and {De Vries}, Casper G.",10.1016/j.jeconom.2012.08.011,Journal of Econometrics,283--291,"{Fat tails, VaR and subadditivity}",172,2013,Elsevier B.V.,http://dx.doi.org/10.1016/j.jeconom.2012.08.011,,2,,,,,,,0,mendeley
924,Smith1995,article,"Smith, Bruce D. and Stutzer, Michael",10.1093/rfs/8.2.545,Review of Financial Studies,545--577,{A Theory of Mutual Formation and Moral Hazard with Evidence from the History of the Insurance Industry},8,1995,,,,2,,,,,,,0,mendeley
925,Wang2019,article,"Wang, Ruodu and Ziegel, Johanna F.",,,1--37,{Scenario-based Risk Evaluation},,2019,,,,,WangR,,,,,,0,mendeley
926,Dahl2010,article,"Dahl, Andy",,,1--15,{A Rigorous Introduction to Brownian Motion},,2010,,,,,Stochastic Processes,,,,,,0,mendeley
927,Whelan2002,book,"Whelan, By S. F. and Bowie, D. C. and Hibbert, A. J.",,,27--65,{A Primer in Financial Economics},8,2002,,,,1,,,,,,,0,mendeley
928,Bally2010,article,"Bally, V. and Marco, S. De",,,1--26,{Bounds on Stock Price probability distributions in Local-Stochastic Volatility models},,2010,,,,,,,,,,,0,mendeley
929,Artzner2009,article,"Artzner, Philippe and Delbaen, Freddy and Koch-Medina, Pablo",10.2143/AST.39.1.2038058,ASTIN Bulletin,101--116,{Risk Measures and Efficient use of Capital},39,2009,,https://www.cambridge.org/core/product/identifier/S0515036100000052/type/journal_article,,01,Delbaen,,,,,,0,mendeley
930,Walker2012,techreport,"Walker, Brent",,,,{Extra-Terrestrial Influences on Nature's Risks},,2012,,,,February,,,,,,,0,mendeley
931,Driver2012,article,"Driver, Bruce K.",,,776,{Analysis Tools with Examples},,2012,,,,,,,,,,,0,mendeley
932,Lorentz1968,article,"Lorentz, G. G. and Shimogaki, T.",10.1016/0022-1236(68)90024-4,Journal of Functional Analysis,31--51,{Interpolation theorems for operators in function spaces},2,1968,,,,1,Risk Sharing,,,,,,0,mendeley
933,AonBenfielYYYY,article,{Aon Benfield},,,,{ReMetrica Sell Sheet},,,,,,,Aon,,,,,,0,mendeley
934,Platt2008,article,"Platt, John C.",,Microsoft,,{Fast Training of Support Vector Machines using Sequential Minimal Optimization},,2008,,,,,,,,,,,0,mendeley
935,Banerjee2019,article,"Banerjee, Kalyan and Chakraborty, Kalyan",,,,{On the Chow group of the self-product of a CM elliptic curve defined over a number field},,2019,,http://arxiv.org/abs/1908.06424,,,,,,aug,,,0,mendeley
936,Bellare1996,article,"Bellare, Mihir and Canetti, R. and Krawczyk, H.",10.1007/3-540-68697-5_1,Advances in Cryptology - CRYPTO'96. 16th Annual International Cryptology Conference. Proceedings,1--15,{Keying hash functions for message authentication},,1996,,,,,,,,,,,0,mendeley
937,Bickel2015,book,"Bickel, Peter J. and Doksum, Kjell A.",10.1080/00401706.1963.10490115,,,"{Mathematical Statistics: Basic Ideas and Selected Topics, volume I}",,2015,CRC Press,,,,,,Second,,"Boca Raton, FL",,0,mendeley
938,Mcaneney2000,article,"Mcaneney, John and Crompton, Ryan P. and Mcaneney, Delphine and Musulin, Rade",,,,{Market-Based Based Mechanisms for Climate Change adaptation},,2000,,,,,,,,,,,0,mendeley
939,Cerny2004,article,"Černý, Aleš",,Journal of Derivatives,73--88,{Introduction to Fast Fourier Transform in Finance},12,2004,,,,1,FFT,,,,,,0,mendeley
940,Jaynes1957,article,"Jaynes, E. T.",,Physical Review,171----190,{Information Theory and Statistical Mechanics. II},108,1957,,,,2,,,,,,,0,mendeley
941,CEIOPS2009,techreport,CEIOPS,,,1--169,{CEIOPS' Advice for Level 2 Implementing Measures on Solvency II: Supervisory Reporting and Public Disclosure Requirements},,2009,,,,October,,,,,,,0,mendeley
942,CouncilofIndependentAgentsandBrokers2018,techreport,{Council of Independent Agents and Brokers},,,,{Commercial Property / Casualty Market Index},,2018,,,,,,,,,,,0,mendeley
943,Candes2014,article,"Candès, Emmanuel J.",,Proceedings of the International Congress of Mathematicians,1--27,{Mathematics of sparsity (and a few other things)},,2014,,,,,,,,,,,0,mendeley
944,NationalAssocationofInsuranceCommissioners2016,book,{National Assocation of Insurance Commissioners},,,,{Receiver's Handbook for Insurance Company Insolvencies},,2016,NAIC,http://store.naic.org,,,Risk Measures,,,,,,0,mendeley
945,GlahYYYY,article,"Glahn, Bob and Kurkowski, Nicole and Shaffer, Wilson A.",,,,{The role of the slosh model in national weather service storm surge forecasting},,,,,,,,,,,,,0,mendeley
946,Pitman1997,article,"Pitman, J. and Yor, Marc",,The Annals of Probability,855--900,{The two-parameter Poisson-Dirichlet distribution derived from a stable subordinator},25,1997,,http://www.jstor.org/stable/2959614,,2,,,,,,,0,mendeley
947,Vullo2018,misc,"Vullo, Maria T.",10.1017/CBO9781107415324.004,,,{In the Matter of the Plan of Conversion of Medical Liability Mutual Insurance Company and the Acquisition of Control of Medical Liability Mutual Insurance Company By National Indemnity Company},,2018,,,,,,"Department of Financial Serivces, New York State",,,,,0,mendeley
948,vanHeerwaarden1992,article,"van Heerwaarden, A. E. and Kaas, Rob",10.1016/0167-6687(92)90049-H,Insurance: Mathematics and Economics,129--133,{The Dutch premium principle},11,1992,,,,2,,,,,,,0,mendeley
949,Paouris2012,article,"Paouris, Grigoris and Pivovarov, Peter",10.1016/j.aim.2012.03.019,Advances in Mathematics,,{A probabilistic take on isoperimetric-type inequalities},230,2012,,,,3,,,,,,,0,mendeley
950,Marinacci2015,article,"Marinacci, Massimo",10.1111/jeea.12164,Journal of the European Economic Association,1022--1100,{Model uncertainty},13,2015,,,,6,Marinacci,,,,,,0,mendeley
951,Brisebarre2020,article,"Brisebarre, Nicolas and Joldeș, Mioara and Muller, Jean Michel and Naneș, Ana Maria and Picot, Joris",10.1145/3368619,ACM Transactions on Mathematical Software,,{Error Analysis of Some Operations Involved in the Cooley-Tukey Fast Fourier Transform},46,2020,,,,2,FFT,,,,,,0,mendeley
952,AbdikerimovYYYY,article,"Abdikerimova, Samal and Boonen, Tim J. and Feng, Runhuan",10.1111/jori.12460,Journal of Risk and Insurance,943--982,{Multiperiod peer-to-peer risk sharing},,,,,,November 2022,JRI2024,,,,,,0,mendeley
953,AMBest2022,techreport,{A. M. Best},,,,{IFRS 17 : Transitioning to a Standard with New Concepts and Terminology},,2022,,,,,CMM,,,,,,0,mendeley
954,Kallsen2000,article,"Kallsen, Jan",10.1007/s001860000048,Mathematical Methods of Operations Research,357--374,{Optimal portfolios for exponential Lévy processes},51,2000,,,,3,,,,,,,0,mendeley
955,Lo2017,article,"Lo, Ambrose",10.1080/03461238.2016.1193558,Scandinavian Actuarial Journal,584--605,{A unifying approach to risk-measure-based optimal reinsurance problems with practical constraints},2017,2017,,,,7,Risk Measures,,,,,,0,mendeley
956,Furman2017,article,"Furman, Edward and Hackmann, Daniel",,,,{On log-normal convolutions : An analytical-numerical method with applications to economic capital determination},,2017,,,,,,,,,,,0,mendeley
957,Krizhevsky2012,article,"Krizhevsky, Alex and Sutskever, Ilya and Hinton, Geoffrey E.",http://dx.doi.org/10.1016/j.protcy.2014.09.007,Advances In Neural Information Processing Systems,1--9,{ImageNet Classification with Deep Convolutional Neural Networks},,2012,,,,,,,,,,,0,mendeley
958,Maaß2006,article,"Maaß, Sebastian",10.1007/s11238-005-4591-z,Theory and Decision,175--191,{A philosophical foundation of non-additive measure and probability},60,2006,,,,2-3,,,,,,,0,mendeley
959,Breiman1992,book,"Breiman, Leo",,,,{Probability},,1992,SIAM,,,,,,,,,,0,mendeley
960,GuidYYYY,article,"Guide, User",,,,{Instruction book},,,,,,,,,,,,,0,mendeley
961,LawleYYYY,techreport,"Lawler, Gregory F. and Limic, Vlada",,,,{Random Walk: A Modern Introduction},,,,,,,,,,,,,0,mendeley
962,Orsi2021,article,"Orsi, William D. and Magritsch, Tobias and Vargas, Sergio and Coskun, Ömer K. and Vuillemin, Aurele and Höhna, Sebastian and Wörheide, Gert and D'Hondt, Steven and Shapiro, B. Jesse and Carinih, Paul",10.1128/mBio.01150-21,mBio,,{Genome Evolution in Bacteria Isolated from Million-Year-Old Subseafloor Sediment},12,2021,,,,4,,,,,,,0,mendeley
963,Nelder1972,article,"Nelder, J. A. and Wedderburn, R. W. M.",,Journal of the Royal Statistical Society,370--384,{Generalized Linear Models},135,1972,,,,3,Book,,,,,,8400,mendeley
964,Szemeredi1975,article,"Szemerédi, Endre",,Acta Mathematica,,{On sets of integers containing no k elements in arithmetic progression},XXVII,1975,,http://matwbn.icm.edu.pl/ksiazki/aa/aa27/aa27132.pdf,,,,,,,,,0,mendeley
965,Øksendal2007,book,"Øksendal, Bernt Karsten and Sulem, Agnes",,,,{Applied stochastic control of jump diffusions},,2007,Springer,,,,,,,,,,0,mendeley
966,Commission2010,article,"Commission, European",,"Brussels, p152",1--330,{QIS5 technical specifications},,2010,,http://scholar.google.com/scholar?hl=en&btnG=Search&q=intitle:QIS5+Technical+Specifications#0,,July,,,,,,,0,mendeley
967,Follmer2011,article,"Föllmer, Hans and Knispel, Thomas",10.1142/S0219493711003334,Stochastics and Dynamics,333--351,"{Entropic Risk Measures: Coherence Vs. Convexity, Model Ambiguity and Robust Large Deviations}",11,2011,,http://www.worldscientific.com/doi/abs/10.1142/S0219493711003334,,02n03,,,,sep,,,0,mendeley
968,Gelman2012,article,"Gelman, Andrew and Unwin, Antony",,,,"{Infvis and statistical graphics: different goals, different looks}",,2012,,,,,,,,,,,0,mendeley
969,AMBest2016,article,{A. M. Best},,,,{Innovation: The Race to Remain Relevant},,2016,,,,,,,,,,,0,mendeley
970,Hooper2016,techreport,"Hooper, Peter",,,,{US aging worries overblown: Growth outlook remains solid},,2016,,,Deutsche Bank,March,,,,,,,0,mendeley
971,MuirWood2015,techreport,"Muir-Wood, Robert",,,,{When the Tail Wags the Dog – the Importance of Maximum Magnitude (Mmax)},,2015,,,,,,,,,,,0,mendeley
972,CerreiaVioglio2015,article,"Cerreia-Vioglio, Simone and Maccheroni, Fabio and Marinacci, Massimo and Montrucchio, Luigi",10.1090/tran/6313,Transactions of the American Mathematical Society,8521--8542,{Choquet integration on Riesz spaces and dual comonotonicity},367,2015,,,,12,Marinacci,,,,,,0,mendeley
973,Mernik2005,article,"Mernik, Marjan and Heering, Jan and Sloane, Anthony M.",10.1115/IPC2010-31470,ACM Computing Surveys,316--344,{When and How to Develop Domain-Specific Languages},37,2005,,,,4,FFT,,,,,,2600,mendeley
974,Begin2022,article,"Bégin, Jean François and Boudreault, Mathieu",10.1080/10920277.2020.1837636,North American Actuarial Journal,82--101,{Do Jumps Matter in the Long Term? A Tale of Two Horizons},26,2022,Routledge,https://doi.org/10.1080/10920277.2020.1837636,,1,,,,,,,0,mendeley
975,Rockafellar2014,article,"Rockafellar, R. Tyrrell and Royset, J. O.",10.1007/s10107-014-0801-1,Mathematical Programming,297--331,"{Random variables, monotone relations, and convex analysis}",148,2014,,,,1-2,Rockafellar,,,,,,0,mendeley
976,Ho2018,article,"Ho, Chungwu and Zimmerman, Seth",10.1080/00029890.2018.1420334,American Mathematical Monthly,339--346,"{On Certain Dense, Uncountable Subsets of the Real Line}",125,2018,Taylor & Francis,https://doi.org/10.1080/00029890.2018.1420334,,4,,,,,,,0,mendeley
977,Elworthy1999,book,"Elworthy, K. D. and Li, Xue-Mei and Yor, Marc",10.1007/s004400050240,,325,{The importance of strictly local martingales; applications to radial Ornstein-Uhlenbeck processes},115,1999,,http://wrap.warwick.ac.uk/13939/,,3,Stochastic Processes,Probability Theory & Related Fields,,,,,0,mendeley
978,Jarrow2011,article,"Jarrow, Robert A.",10.1016/j.frl.2010.08.002,Finance Research Letters,2--7,{Credit market equilibrium theory and evidence: Revisiting the structural versus reduced form credit risk model debate},8,2011,Elsevier Inc.,http://dx.doi.org/10.1016/j.frl.2010.08.002,,1,,,,,,,0,mendeley
979,Bertoin2001,article,"Bertoin, Jean and Yor, Marc",,Ann. Fac. Sci. Toulouse VI. Ser. Math,33--45,{On the entire moments of self-similar Markov processes and exponential functionals of Lévy processes},XI,2001,,http://cds.cern.ch/record/571221,,2,,,,,,,0,mendeley
980,Stein1991,article,"Stein, Elias M. and Stein, Jeremy C.",10.1093/rfs/4.4.727,The Review of Financial Studies,727--752,{Stock price distributions with stochastic volatility: an analytic approach},4,1991,,http://rfs.oxfordjournals.org/content/4/4/727.short,,4,,,,,,,0,mendeley
981,Wolff2017,article,"Wolff, Edward N.",,,1--75,"{Household Wealth trends in the United States, 1962 to 2016: Has Middle Class Wealth recovered?}",,2017,,http://www.nber.org/papers/w24085,,,,,,,,,0,mendeley
982,Salzmann2010,article,"Salzmann, Robert and Wüthrich, M. V.",10.2143/AST.40.2.2061123,ASTIN Bulletin,415--451,{Cost-of-capital margin for a general insurance liability runoff},40,2010,,http://www.scopus.com/inward/record.url?eid=2-s2.0-79951840579&partnerID=40&md5=b8268cdee7f6a69755a149e3aa782582,,August 2013,,,,,,,0,mendeley
983,Babbel2005,article,"Babbel, D. F. and Merrill, Craig B.",,Journal of Risk and Insurance,1--21,{Real and illusory value creation by insurance companies},72,2005,,http://onlinelibrary.wiley.com/doi/10.1111/j.0022-4367.2005.00113.x/full,,1,Risk Measures,,,,,,0,mendeley
984,Hedges2015,article,"Hedges, S. Blair and Marin, Julie and Suleski, Michael and Paymer, Madeline and Kumar, Sudhir",10.1093/molbev/msv037,Molecular Biology and Evolution,835--845,{Tree of life reveals clock-like speciation and diversification},32,2015,,,,4,,,,,,,0,mendeley
985,Weil1954,article,"Weil, Andre",10.2307/2306891,The American Mathematical Monthly,34,{Mathematical Teaching in Universities},61,1954,,,,1,,,,,,,0,mendeley
986,Stark2015,article,"Stark, Jalex",,,,{Ordinal arithmetic},,2015,,,,,,,,,,,0,mendeley
987,Dentcheva2018,article,"Dentcheva, Darinka and Ruszczyński, Andrzej",,,1--19,"{Risk Forms: Representation, Disintegration, and Application to Partially Observable Two-Stage Systems}",,2018,,http://arxiv.org/abs/1807.02300,,,,,,,,,0,mendeley
988,Krebs2014,article,"Krebs, Valdis",,Cambridge Center for Risk Studies,,{From Main Street to Wall Street Mapping the Mortgage Mess Mortgage Mess},,2014,,,,September,,,,,,,0,mendeley
989,HellerGallery2014,misc,{Heller Gallery},,,,{P. Moulthrop Price List},,2014,,,,,,,,,,,0,mendeley
990,Cummins1988,article,"Cummins, J. David",,Journal of Finance,823--839,{Risk-Based Premiums for Insurance Guaranty Funds},43,1988,,,,4,"Cummins,PIR",,,,,,0,mendeley
991,Dragulescu2002,article,"Dragulescu, Adrian a and Yakovenko, Victor M.",10.1088/1469-7688/2/6/303,Quantitative Finance,443--453,{Probability distribution of returns in the Heston model with stochastic volatility*},2,2002,,http://stacks.iop.org/1469-7688/2/i=6/a=303?key=crossref.ac541ddbc8798e29d5305a4e765bb883,,6,,,,dec,,,0,mendeley
992,Ciresan2012,article,"Cireșan, Dan and Meier, Ueli and Masci, Jonathan and Schmidhuber, Jürgen",10.1016/j.neunet.2012.02.023,Neural Networks,333--338,{Multi-column deep neural network for traffic sign classification},32,2012,,,,,,,,,,,0,mendeley
993,Mildenhall2010,article,"Mildenhall, Stephen J.",,,,{Current State of the US Insurance Market Overall Premium Levels At Historical Lows Relative to GDP … is Market Primed to Turn ?},,2010,,,,,Mildenhall,,,,,,0,mendeley
994,Principi2023,article,"Principi, Giulio and Wakker, Peter P. and Wang, Ruodu",,,,{Anticomonotonicity for Preference Axioms: The Natural Counterpart to Comonotonicity},,2023,,http://arxiv.org/abs/2307.08542,,,WangR,,,,,,0,mendeley
995,ChunYYYY,article,"Chung, Hae Jin and Park, Sojung Carol and Xie, Xiaoying",10.1111/rmir.12290,Risk Management and Insurance Review,393--425,{One size does not fit all: The value of information and coexistence of rating agencies},,,,,,,JRI2024,,,,,,0,mendeley
996,Dowd2006,article,"Dowd, Kevin and Blake, David",,,,"{Centre for Risk & Insurance Studies After VaR: The Theory , Estimation , and Insurance Applications of Quantile- Based Risk Measures}",,2006,,,,,Risk Measures,,,,,,0,mendeley
997,Romberg2012,techreport,"Romberg, J.",,,1--11,{l1 Minimization},,2012,,,,,,,,,,,0,mendeley
998,Lloyds2011,article,Lloyds,,,1--11,{Lloyd's Quick Guide},,2011,,,,may,,,,,,,0,mendeley
999,Fournie1999,article,"Fournié, Eric and Lasry, Jean-Michel and Lebuchoux, Jérôme and Lions, Pierre-Louis and Touzi, Nizar",10.1007/s007800050068,Finance and Stochastics,391--412,{Applications of Malliavin calculus to Monte Carlo methods in finance},3,1999,,,,4,Book,,,,,,750,mendeley
1000,Goodfellow2017,article,"Goodfellow, Ian J. and Brain, Google",,,,{Adversarial Examples and Adversarial Training},,2017,,,,,,,,,,,0,mendeley
1001,Liebrich2017,article,"Liebrich, Felix Benedikt and Svindland, Gregor",10.1016/j.insmatheco.2017.09.006,Insurance: Mathematics and Economics,150--165,{Model spaces for risk measures},77,2017,,,,,Svindland,,,,,,0,mendeley
1002,Clark1985,article,"Clark, Karen M.",,,,{A formal approach to catastrophe risk assessment and management},,1985,,,,,,,,,,,0,mendeley
1003,Embrechts1983,article,"Embrechts, Paul",http://doi.acm.org/10.1145/1658939.1658944,Journal of Applied Probability,537--544,{PROPERTY OF THE GENERALIZED INVERSE GAUSSIAN DISTRIBUTION WITH SOME APPLICATIONS.},20,1983,,,,3,,,,,,,0,mendeley
1004,Mildenhall2012,book,,,,,{Insurance Risk Study},,2012,Aon Benfield,,,,,,Seventh,,,"Mildenhall, Stephen",0,mendeley
1005,AMBest2005,article,{A. M. Best},,,,"{Best's Impairment Rate and Rating Transition Study, 1977-2005}",2004,2005,,,,,,,,,,,0,mendeley
1006,Kesten2010,article,"Kesten, H.",,Proceedings of the International Congress of …,,{The work of Stanislav Smirnov},,2010,,http://books.google.com/books?hl=en&lr=&id=GFE1vx2pynMC&oi=fnd&pg=PA73&dq=The+Work+of+Stanislav+Smirnov&ots=1xOTj9pKVx&sig=C8Ci4ulyIN40lHYcUpynUVhpcEM,,,,,,,,,0,mendeley
1007,HudzikandMastyloandMaligranda1998,article,"Hudzik and Mastylo and Maligranda, Lech and Persson",10.2307/44152979,Real Analysis Exchange,567,{Extension of Submultiplicativity and Supermultiplicativity of Orlicz Functions},24,1998,,,,2,,,,,,,0,mendeley
1008,Castillo2016,book,"Castillo, Rene Erlin and Rafeiro, Humberto",10.1080/0034408380330207,,,{An introductory course in Legebsgue Spaces},,2016,Springer,,,,,,,,,,0,mendeley
1009,Rehman2016,article,"Rehman, By Zia and Gardner, Lisa and Heckman, Philip E.",,Variance,258--278,{Capital Framework for Property Liability Insurers},10,2016,,,,2,CMM,,,,,,0,mendeley
1010,Yaari1965,article,"Yaari, Menahem E.",10.2307/2296058,Review of Economic Studies,137--150,"{Uncertain Lifetime, Life Insurance, and the Theory of the Consumer}",32,1965,,http://www.jstor.org/stable/2296058%5Cnhttp://restud.oxfordjournals.org/lookup/doi/10.2307/2296058,,2,,,,,,,0,mendeley
1011,AssociationofBritishInsurers2014,techreport,{Association of British Insurers},,,,{UK Insurance Key Facts},,2014,,,,,,,,,,,0,mendeley
1012,Caicedo2007,article,"Caicedo, Andrés Eduardo",,Revista Colombiana de Matemáticas,381--391,{Goodstein's function},41,2007,,,,,,,,,,,11,mendeley
1013,Nolan2014,article,"Nolan, John P.",10.1002/wics.1286,Wiley Interdisciplinary Reviews: Computational Statistics,45--55,{Financial modeling with heavy-tailed stable distributions},6,2014,,,,1,,,,,,,0,mendeley
1014,Easwaran2007,article,"Easwaran, Kenny",10.3201/eid2104.141281,,1--15,{A Cheerful Introduction to Forcing and the Continuum Hypothesis},,2007,,http://arxiv.org/abs/0712.2279,,,Set Theory,,,,,,0,mendeley
1015,Embrechts2020,article,"Embrechts, Paul and Liu, Haiyan and Mao, Tiantian and Wang, Ruodu",10.1007/s10107-018-1313-1,Mathematical Programming,319--347,{Quantile-based risk sharing with heterogeneous beliefs},181,2020,Springer Berlin Heidelberg,https://doi.org/10.1007/s10107-018-1313-1,,2,"Risk Sharing,WangR",,,,,,0,mendeley
1016,Laloux2008,article,"Laloux, Laurent and Cizeau, Pierre and Bouchaud, Jean-philippe and Potters, Marc",,,109--111,{Noise Dressing of Financial Correlation Matrices},,2008,,,,,,,,,,,0,mendeley
1017,Katti1961,article,"Katti, S. K. and Gurland, J.",10.2307/2527853,Biometrics,527--538lllll,{The Poisson Pascal distribution},17,1961,,,,4,,,,,,,0,mendeley
1018,Gorton2015,article,"Gorton, Gary and Ordo, Guillermo",,,,"{Good Booms , Bad Booms}",,2015,,,,November,,,,,,,0,mendeley
1019,Mccann1995,article,"Mccann, Robert J.",,,309--323,{Existence and Uniqueness of Monotone Measure-Preserving Maps},80,1995,,,,2,,,,,,,502,mendeley
1020,Timotin2015,article,"Timotin, Dan",,,1--15,{The solution to the Kadison–Singer Problem: yet another presentation},,2015,,http://arxiv.org/abs/1501.0464,,,,,,,,,0,mendeley
1021,Cooley1965,article,"Cooley, James W. and Tukey, John W.",10.2307/2003354,Mathematics of Computation,297--301,{An Algorithm for the Machine Calculation of Complex Fourier Series},19,1965,,,,90,FFT,,,,,,18818,mendeley
1022,Halliwell2012,article,"Halliwell, Leigh Joseph",,The Geneva Papers,149--162,{The Mathematics of excess losses},6,2012,,,,1,,,,,,,0,mendeley
1023,Cho2019,article,"Cho, Kenta and Jacobs, Bart",10.1017/S0960129518000488,Mathematical Structures in Computer Science,938--971,{Disintegration and Bayesian inversion via string diagrams},29,2019,,,,7,,,,,,,59,mendeley
1024,VanSlyke1999,book,"{Van Slyke}, Oakley E.",,,179,{Actuarial Considerations Regarding Risk and Return in Property-Casualty Insurance Pricing},,1999,Casualty Actuarial Society,,,,,,,,"Arlington, VA",,0,mendeley
1025,Boyle2012,article,"Boyle, Phelim and Kim, Joseph H. T.",10.1111/j.1539-6975.2012.01473.x,Journal of Risk and Insurance,963--993,{Designing a Countercyclical Insurance Program for Systemic Risk},79,2012,,http://doi.wiley.com/10.1111/j.1539-6975.2012.01473.x,,4,,,,dec,,,0,mendeley
1026,Abate2006,article,"Abate, Joseph and Whitt, Ward",10.1287/ijoc.1050.0137,INFORMS Journal on Computing,408--421,{A Unified Framework for Numerically Inversion Laplace},18,2006,,,,,,,,,,,0,mendeley
1027,FederalInsuranceOffice2014,article,{Federal Insurance Office},,,,{The Breadth and Scope of the Global Reinsurance Market and the Critical Role Such Market Plays in Supporting Insurance in the United States},2630,2014,,,,December,,,,,,,0,mendeley
1028,Slud2001,book,"Slud, Eric V.",,,,{Actuarial Mathematics and Life-Table Statistics},,2001,,,,,,University of Maryland,,,,,0,mendeley
1029,Guszcza2018,techreport,"Guszcza, James",,,,{Going Deep},,2018,,,Deloitte,,,,,,,,0,mendeley
1030,Lo2005,article,"Lo, Andrew W.",,Journal of Investment Consulting,,{Reconciling efficient markets with behavioral finance: The Adaptative Markets Hypothesis},7,2005,,,,2,,,,,,,0,mendeley
1031,McCullagh1989,book,"McCullagh, Peter and Nelder, J. A.",,,,{Generalized Linear Models},,1989,Chapman and Hall,,,,Book,,Second,,London and New York,,38941,mendeley
